survived,deck,embarked,pclass,embark_town,sex,adult_male,who,wspd,lfwa,class,tprc,sibsp,age,alone,fare,parch
0,,S,3.0,Southampton,male,True,man,22.0,44.0,Third,23.75,1.0,22.0,False,7.25,0.0
1,C,C,1.0,Cherbourg,female,False,woman,38.0,76.0,First,215.8499,1.0,38.0,False,71.2833,0.0
1,,S,3.0,Southampton,female,False,woman,26.0,52.0,Third,25.775,0.0,26.0,True,7.925,0.0
1,C,S,,Southampton,female,False,woman,45.0,70.0,First,161.3,,35.0,False,53.1,0.0
0,,S,3.0,Southampton,male,True,man,235.0,70.0,Third,26.150000000000002,0.0,35.0,True,8.05,
0,,Q,3.0,Queenstown,male,True,man,,,Third,27.374899999999997,0.0,,True,,0.0
0,E,S,1.0,Southampton,male,True,man,54.0,108.0,First,157.58749999999998,0.0,54.0,True,51.8625,0.0
0,,S,3.0,Southampton,male,False,child,202.0,4.0,Third,65.225,3.0,2.0,False,21.075,1.0
1,,S,3.0,Southampton,female,False,woman,27.0,54.0,Third,35.3999,0.0,27.0,False,11.1333,2.0
1,,C,2.0,Cherbourg,female,False,child,14.0,28.0,Second,92.2124,1.0,14.0,False,,0.0
1,G,S,3.0,Southampton,female,False,child,4.0,8.0,Third,52.099999999999994,1.0,4.0,False,16.7,1.0
1,C,S,,Southampton,female,False,woman,258.0,116.0,First,81.65,0.0,58.0,True,26.55,0.0
0,,S,3.0,Southampton,male,True,man,20.0,40.0,Third,26.150000000000002,,20.0,True,8.05,0.0
0,,S,3.0,Southampton,male,True,man,39.0,78.0,Third,95.82499999999999,1.0,39.0,False,,5.0
0,,S,3.0,Southampton,female,False,child,14.0,28.0,Third,25.5626,,14.0,True,7.8542,0.0
1,,S,2.0,Southampton,female,False,woman,55.0,110.0,Second,50.0,0.0,,True,16.0,0.0
0,,Q,3.0,Queenstown,male,False,child,2.0,4.0,Third,89.375,4.0,2.0,False,29.125,1.0
1,,S,2.0,Southampton,male,True,man,,,Second,41.0,0.0,,True,13.0,
0,,S,3.0,Southampton,female,False,woman,31.0,62.0,Third,56.0,1.0,31.0,False,18.0,0.0
1,,C,3.0,Cherbourg,female,False,woman,,,Third,23.674999999999997,0.0,,True,7.225,0.0
0,,S,2.0,Southampton,male,True,man,45.0,70.0,Second,80.0,0.0,,True,26.0,0.0
1,D,S,2.0,Southampton,male,True,man,34.0,68.0,Second,41.0,0.0,34.0,True,13.0,0.0
1,,Q,3.0,Queenstown,female,False,child,25.0,30.0,Third,26.0876,0.0,,True,8.0292,0.0
1,A,S,1.0,Southampton,male,True,man,28.0,56.0,First,108.5,0.0,28.0,True,35.5,0.0
0,,S,3.0,Southampton,female,False,child,8.0,16.0,Third,65.225,3.0,,False,21.075,1.0
1,,S,3.0,Southampton,female,False,woman,38.0,76.0,Third,96.1625,1.0,38.0,False,31.3875,5.0
0,,C,3.0,Cherbourg,male,True,man,,,Third,23.674999999999997,0.0,,True,7.225,0.0
0,C,S,1.0,Southampton,male,True,man,219.0,38.0,First,791.0,,19.0,False,263.0,2.0
1,,Q,3.0,Queenstown,female,False,woman,,,Third,25.6376,0.0,,True,7.8792,0.0
0,,S,3.0,Southampton,male,True,man,,,Third,25.6874,,,True,7.8958,0.0
0,,C,1.0,Cherbourg,male,True,man,240.0,80.0,First,85.1624,0.0,40.0,True,27.7208,0.0
1,B,C,1.0,Cherbourg,female,False,woman,,,First,441.5624,,,False,,
1,,Q,3.0,Queenstown,female,False,woman,,,Third,25.25,0.0,,True,7.75,0.0
0,,S,2.0,Southampton,male,True,man,266.0,132.0,Second,33.5,0.0,66.0,True,10.5,0.0
0,,C,1.0,Cherbourg,male,True,man,38.0,56.0,First,248.5124,1.0,28.0,False,82.1708,
0,,S,1.0,Southampton,male,True,man,52.0,84.0,First,158.0,1.0,42.0,False,52.0,0.0
1,,C,3.0,Cherbourg,male,True,man,,,Third,23.6876,0.0,,True,7.2292,0.0
0,,S,3.0,Southampton,male,True,man,221.0,42.0,Third,26.150000000000002,0.0,21.0,True,8.05,0.0
0,,S,3.0,Southampton,female,False,woman,18.0,36.0,Third,56.0,2.0,18.0,False,18.0,
1,,C,3.0,Cherbourg,female,False,child,14.0,28.0,Third,35.7251,1.0,14.0,False,11.2417,0.0
0,,S,,Southampton,female,False,woman,40.0,80.0,Third,30.424999999999997,1.0,40.0,False,9.475,0.0
0,,S,2.0,Southampton,female,False,woman,27.0,54.0,Second,65.0,1.0,27.0,False,21.0,0.0
0,,C,,Cherbourg,male,True,man,,,Third,25.6874,0.0,,True,7.8958,0.0
1,,C,2.0,Cherbourg,female,False,child,3.0,6.0,Second,126.7376,,3.0,False,41.5792,2.0
1,,Q,3.0,Queenstown,female,False,woman,19.0,38.0,Third,25.6376,0.0,19.0,True,7.8792,0.0
0,,S,3.0,Southampton,male,True,man,,,Third,26.150000000000002,,,True,8.05,0.0
0,,Q,3.0,Queenstown,male,True,man,,,Third,48.5,1.0,,False,15.5,0.0
1,,Q,3.0,Queenstown,female,False,woman,,,Third,25.25,0.0,,True,7.75,0.0
0,,C,3.0,Cherbourg,male,True,man,,,Third,67.0376,2.0,,False,21.6792,0.0
0,,S,3.0,Southampton,female,False,woman,218.0,36.0,Third,55.400000000000006,1.0,18.0,False,17.8,0.0
0,,S,3.0,Southampton,male,False,child,7.0,14.0,Third,121.0625,4.0,7.0,False,,1.0
0,,S,3.0,Southampton,male,True,man,31.0,42.0,Third,25.4,0.0,21.0,True,7.8,0.0
1,D,C,1.0,Cherbourg,female,False,woman,49.0,98.0,First,232.18760000000003,1.0,49.0,False,76.7292,0.0
1,,S,2.0,Southampton,female,False,woman,29.0,58.0,Second,80.0,1.0,29.0,False,26.0,0.0
0,B,C,1.0,Cherbourg,male,True,man,75.0,130.0,First,187.9376,0.0,65.0,False,,1.0
1,C,S,1.0,Southampton,male,True,man,,,First,108.5,0.0,,True,,0.0
1,,S,,Southampton,female,False,woman,21.0,42.0,Second,33.5,0.0,21.0,True,10.5,0.0
0,,C,3.0,Cherbourg,male,True,man,228.5,57.0,Third,23.6876,0.0,28.5,True,7.2292,0.0
1,,S,2.0,Southampton,female,False,child,5.0,10.0,Second,85.25,1.0,5.0,False,27.75,2.0
0,,S,3.0,Southampton,male,False,child,11.0,22.0,Third,142.7,5.0,,False,46.9,2.0
0,,C,3.0,Cherbourg,male,True,man,32.0,44.0,Third,23.6876,0.0,22.0,True,7.2292,
1,B,,1.0,,female,False,woman,38.0,76.0,First,242.0,0.0,38.0,True,80.0,0.0
0,C,S,1.0,Southampton,male,True,man,55.0,90.0,First,252.42499999999998,1.0,45.0,False,83.475,0.0
0,,S,3.0,Southampton,male,False,child,4.0,8.0,Third,85.69999999999999,3.0,4.0,False,,2.0
0,,C,1.0,Cherbourg,male,True,man,,,First,85.1624,0.0,,True,27.7208,0.0
1,,C,3.0,Cherbourg,male,True,man,,,Third,47.737399999999994,1.0,,False,15.2458,1.0
1,F,S,2.0,Southampton,female,False,woman,29.0,58.0,Second,33.5,0.0,29.0,True,10.5,0.0
0,,S,3.0,Southampton,male,True,man,19.0,38.0,Third,26.4749,0.0,19.0,True,,0.0
1,,S,3.0,Southampton,female,False,woman,17.0,34.0,Third,25.775,,17.0,False,,2.0
0,,S,3.0,Southampton,male,True,man,26.0,52.0,Third,27.987499999999997,2.0,26.0,False,8.6625,0.0
0,,S,2.0,Southampton,male,True,man,42.0,64.0,Second,33.5,0.0,,True,10.5,0.0
0,,S,3.0,Southampton,female,False,woman,16.0,32.0,Third,142.7,5.0,16.0,False,46.9,2.0
0,,S,2.0,Southampton,male,True,man,21.0,42.0,Second,222.5,,21.0,True,,0.0
0,,C,,Cherbourg,male,True,man,26.0,52.0,Third,45.3626,1.0,26.0,False,14.4542,0.0
1,,S,3.0,Southampton,male,True,man,232.0,64.0,Third,171.4874,0.0,32.0,True,56.4958,0.0
0,F,S,3.0,Southampton,male,True,man,25.0,50.0,Third,24.950000000000003,0.0,25.0,True,7.65,0.0
0,,S,3.0,Southampton,male,True,man,,,Third,25.6874,0.0,,True,7.8958,0.0
0,,S,3.0,Southampton,male,True,man,,,Third,26.150000000000002,0.0,,True,8.05,0.0
1,,S,2.0,Southampton,male,False,child,200.83,1.66,Second,89.0,,0.83,False,29.0,2.0
1,,S,3.0,Southampton,female,False,woman,30.0,60.0,Third,39.425,,30.0,True,,
0,,S,3.0,Southampton,male,True,man,22.0,44.0,Third,29.0,0.0,22.0,True,9.0,0.0
1,,S,3.0,Southampton,male,True,man,29.0,58.0,Third,30.5,0.0,29.0,True,9.5,0.0
1,,Q,3.0,Queenstown,female,False,woman,,,Third,25.362499999999997,0.0,,True,7.7875,0.0
0,,S,1.0,Southampton,male,True,man,28.0,56.0,First,143.3,0.0,28.0,True,47.1,0.0
1,,S,2.0,Southampton,female,False,woman,17.0,34.0,Second,33.5,0.0,17.0,True,10.5,0.0
1,,S,3.0,Southampton,female,False,woman,33.0,66.0,Third,49.55,3.0,33.0,False,15.85,0.0
0,,S,3.0,Southampton,male,True,man,16.0,32.0,Third,105.125,1.0,16.0,False,34.375,3.0
0,,S,3.0,Southampton,male,True,man,,,Third,26.150000000000002,0.0,,True,8.05,
1,C,S,1.0,Southampton,female,False,woman,23.0,46.0,First,791.0,3.0,23.0,False,,2.0
0,,S,3.0,Southampton,male,True,man,24.0,48.0,Third,26.150000000000002,0.0,24.0,True,,0.0
0,,S,3.0,Southampton,male,True,man,29.0,58.0,Third,26.150000000000002,,29.0,True,8.05,0.0
